index,rank,word,frequency,percentile,distance,probability,distance_probability
90,10,"interrupting",410,89.5000,0.304266,0.01974001,-0.30622088
91,9,"holly",487,90.5000,0.420076,0.02344728,-0.30506278
92,8,"jet",533,91.5000,0.489262,0.02566201,-0.30437093
93,7,"success",708,92.5000,0.752467,0.03408763,-0.30173887
94,6,"correct",973,93.5000,1.151036,0.04684641,-0.29775319
95,5,"vampire",1032,94.5000,1.239773,0.04968705,-0.29686581
96,4,"gas",1149,95.5000,1.415745,0.05532017,-0.29510609
97,3,"hardly",1449,96.5000,1.866955,0.06976408,-0.29059399
98,2,"relax",2877,97.5000,4.014712,0.13851709,-0.26911642
99,1,"sounds",5665,98.5000,8.207953,0.27274916,-0.22718401
